seed_base,v_label,run_id,proxy_clear_rate,proxy_damage_per_min,proxy_survival_time,proxy_input_density,q_a,q_intro,q_success_fb,q_d,q_c,q_e
1000000,v002,1000021,0,1.2645,47.45,20.2318,5,4.5,3,4.5,4.5,5
1000000,v003,1000021,0,1.2645,47.45,20.2318,5,4.5,3,4.5,4.5,5
1000000,v001,1000022,0,2.3256,25.8,20.9302,5,4,3,3.5,,5
1000000,v002,1000022,0,2.3256,25.8,20.9302,5,4.5,3,4.5,4.5,5
1000000,v003,1000022,0,2.3256,25.8,20.9302,5,4.5,3,4.5,4.5,5
1000000,v001,1000023,0,2.3885,25.12,21.4968,5,4,3,3.5,,5
1000000,v002,1000023,0,2.3885,25.12,21.4968,5,4.5,3,4.5,4.5,5
1000000,v003,1000023,0,2.3885,25.12,21.4968,5,4.5,3,4.5,4.5,5
1000000,v001,1000024,0,1.3172,45.55,19.7585,5,4,3,3.5,,5
1000000,v002,1000024,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
1000000,v003,1000024,0,1.3172,45.55,19.7585,5,4.5,3,4.5,4.5,5
1000000,v001,1000025,0,0.9444,63.53,19.8331,5,4,3,3.5,,5
1000000,v002,1000025,0,0.9444,63.53,19.8331,5,4.5,3,4.5,4.5,5
1000000,v003,1000025,0,0.9444,63.53,19.8331,5,4.5,3,4.5,4.5,5
1000000,v001,1000026,0,6.4725,9.27,19.4175,5,4,3,3.5,,5
1000000,v002,1000026,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
1000000,v003,1000026,0,6.4725,9.27,19.4175,5,4.5,3,4.5,4.5,5
1000000,v001,1000027,0,2.381,25.2,21.4286,5,4,3,3.5,,5
1000000,v002,1000027,0,2.381,25.2,21.4286,5,4.5,3,4.5,4.5,5
1000000,v003,1000027,0,2.381,25.2,21.4286,5,4.5,3,4.5,4.5,5
1000000,v001,1000028,0,2.1676,27.68,19.5087,5,4,3,3.5,,5
1000000,v002,1000028,0,2.1676,27.68,19.5087,5,4.5,3,4.5,4.5,5
1000000,v003,1000028,0,2.1676,27.68,19.5087,5,4.5,3,4.5,4.5,5
1000000,v001,1000029,0,0.9764,61.45,20.5045,5,4,3,3.5,,5
1000000,v002,1000029,0,0.9764,61.45,20.5045,5,4.5,3,4.5,4.5,5
1000000,v003,1000029,0,0.9764,61.45,20.5045,5,4.5,3,4.5,4.5,5
2000000,v001,2000000,0,0.9659,62.12,20.2833,5,4,3,3.5,,5
2000000,v002,2000000,0,0.9659,62.12,20.2833,5,4.5,3,4.5,4.5,5
2000000,v003,2000000,0,0.9659,62.12,20.2833,5,4.5,3,4.5,4.5,5
2000000,v001,2000001,0,1.3158,45.6,19.7368,5,4,3,3.5,,5
2000000,v002,2000001,0,1.3158,45.6,19.7368,5,4.5,3,4.5,4.5,5
2000000,v003,2000001,0,1.3158,45.6,19.7368,5,4.5,3,4.5,4.5,5
2000000,v001,2000002,0,2.243,26.75,20.1869,5,4,3,3.5,,5
2000000,v002,2000002,0,2.243,26.75,20.1869,5,4.5,3,4.5,4.5,5
2000000,v003,2000002,0,2.243,26.75,20.1869,5,4.5,3,4.5,4.5,5
2000000,v001,2000003,0,0.9521,63.02,19.9937,5,4,3,3.5,,5
2000000,v002,2000003,0,0.9521,63.02,19.9937,5,4.5,3,4.5,4.5,5
2000000,v003,2000003,0,0.9521,63.02,19.9937,5,4.5,3,4.5,4.5,5
2000000,v001,2000004,0,0.7268,82.55,20.3513,5,4,3,3.5,,5
2000000,v002,2000004,0,0.7268,82.55,20.3513,5,4.5,3,4.5,4.5,5
2000000,v003,2000004,0,0.7268,82.55,20.3513,5,4.5,3,4.5,4.5,5
2000000,v001,2000005,0,2.3933,25.07,21.5397,5,4,3,3.5,,5
2000000,v002,2000005,0,2.3933,25.07,21.5397,5,4.5,3,4.5,4.5,5
2000000,v003,2000005,0,2.3933,25.07,21.5397,5,4.5,3,4.5,4.5,5
2000000,v001,2000006,0,0.7275,82.47,20.371,5,4,3,3.5,,5
2000000,v002,2000006,0,0.7275,82.47,20.371,5,4.5,3,4.5,4.5,5
