phase,cx,raw_cy,corrected_cy,cy_source,raw_w,corrected_w,w_source,raw_h,corrected_h,h_source,raw_bbox_area,corrected_bbox_area,bbox_area_source,raw_mask_area,corrected_mask_area,mask_area_source,track,changed
25,105.0,,204.5,missing,,12.0,missing,,10.0,missing,,120.0,missing,,46.0,missing,left_forward,1
28,105.0,,202.0,missing,,13.0,missing,,11.0,missing,,143.0,missing,,40.0,missing,left_forward,1
0,263.0,164.5,164.5,raw,19.0,19.0,raw,14.0,14.0,raw,266.0,266.0,raw,79.0,79.0,raw,right_forward,0
1,263.0,164.5,164.5,raw,19.0,19.0,raw,14.0,14.0,raw,266.0,266.0,raw,79.0,79.0,raw,right_forward,0
2,263.0,148.5,148.5,raw,19.0,19.0,raw,46.0,46.0,raw,874.0,874.0,raw,158.0,158.0,raw,right_forward,0
3,263.0,152.0,152.0,raw,19.0,19.0,raw,39.0,39.0,raw,741.0,741.0,raw,164.0,164.0,raw,right_forward,0
4,264.5,151.5,151.5,raw,22.0,22.0,raw,40.0,40.0,raw,880.0,880.0,raw,186.0,186.0,raw,right_forward,0
5,263.5,156.5,156.5,raw,24.0,24.0,raw,30.0,30.0,raw,720.0,720.0,raw,181.0,181.0,raw,right_forward,0
6,264.0,156.5,156.5,raw,29.0,29.0,raw,30.0,30.0,raw,870.0,870.0,raw,198.0,198.0,raw,right_forward,0
7,263.5,161.5,161.5,raw,40.0,40.0,raw,20.0,20.0,raw,800.0,800.0,raw,253.0,253.0,raw,right_forward,0
8,259.0,164.5,164.5,raw,51.0,51.0,raw,22.0,22.0,raw,1122.0,1122.0,raw,359.0,359.0,raw,right_forward,0
9,263.0,,164.0,missing,,20.0,missing,,13.0,missing,,260.0,missing,,78.0,missing,right_forward,1
10,263.0,,166.5,missing,,29.5,missing,,22.0,missing,,637.0,missing,,112.0,missing,right_forward,1
11,263.0,,163.5,missing,,32.5,missing,,23.0,missing,,720.5,missing,,104.5,missing,right_forward,1
12,260.0,169.0,169.0,raw,19.0,19.0,raw,25.0,25.0,raw,475.0,475.0,raw,101.0,101.0,raw,right_forward,0
13,262.0,169.0,169.0,raw,25.0,25.0,raw,51.0,51.0,raw,1275.0,1275.0,raw,242.0,242.0,raw,right_forward,0
14,261.5,169.5,169.5,raw,26.0,26.0,raw,52.0,52.0,raw,1352.0,1352.0,raw,259.0,259.0,raw,right_forward,0
15,262.5,170.0,170.0,raw,34.0,34.0,raw,69.0,69.0,raw,2346.0,2346.0,raw,801.0,801.0,raw,right_forward,0
16,263.0,172.5,172.5,raw,37.0,37.0,raw,70.0,70.0,raw,2590.0,2590.0,raw,930.0,930.0,raw,right_forward,0
17,263.0,,169.5,missing,,31.0,missing,,42.0,missing,,1302.0,missing,,445.0,missing,right_forward,1
18,263.0,,170.5,missing,,44.0,missing,,38.0,missing,,1672.0,missing,,526.0,missing,right_forward,1
19,263.0,,174.5,missing,,47.0,missing,,42.0,missing,,1974.0,missing,,597.0,missing,right_forward,1
20,263.0,,180.5,missing,,59.0,missing,,30.0,missing,,1770.0,missing,,730.0,missing,right_forward,1
21,263.0,,180.5,missing,,60.0,missing,,34.0,missing,,2040.0,missing,,784.0,missing,right_forward,1
25,263.0,,204.5,missing,,12.0,missing,,10.0,missing,,120.0,missing,,46.0,missing,right_forward,1
28,263.0,,202.0,missing,,13.0,missing,,11.0,missing,,143.0,missing,,40.0,missing,right_forward,1
